Genome ID,GenBank Accession,Species,Subtype,Genome Status,Strain/Isolate,Collection Date,Isolation Country,Used in analysis?
11089.366,AY968064,Yellow fever virus,-,Complete,Angola71,-,Angola,No
11089.367,AY968065,Yellow fever virus,-,Complete,Uganda48a,-,Uganda,No
11089.489,GQ379162,Yellow fever virus,-,Complete,case #1,2007-10,Peru,No
11089.490,GQ379163,Yellow fever virus,-,Complete,case #2,2007-10,Peru,No
11089.494,JF912180,Yellow fever virus,-,Complete,BeH394880,1981,Brazil,Yes
11089.495,JF912181,Yellow fever virus,-,Complete,BeH413820,1983,Brazil,No
11089.496,JF912182,Yellow fever virus,-,Complete,BeH422973,1984,Brazil,Yes
11089.497,JF912183,Yellow fever virus,-,Complete,BeH423602,1984,Brazil,Yes
11089.498,JF912184,Yellow fever virus,-,Complete,BeH463676,1987,Brazil,Yes
11089.500,JF912186,Yellow fever virus,-,Complete,BeH526722,1994,Brazil,Yes
11089.501,JF912187,Yellow fever virus,-,Complete,BeH622205,2000,Brazil,No
11089.503,JF912188,Yellow fever virus,-,Complete,BeH622493,2000,Brazil,Yes
11089.504,JF912190,Yellow fever virus,-,Complete,BeH655417,2002,Brazil,Yes
11089.1149,JN620362,Yellow fever virus,-,Complete,Uganda 2010,2010-10,Uganda,No
11089.1118,JX898868,Yellow fever virus,-,Complete,HD117294,1995,Senegal,No
11089.576,KM388814,Yellow fever virus,-,Complete,6A,2005,Venezuela,Yes
11089.472,KU921608,Yellow fever virus,-,Complete,-,2016-03-10,China,No
11089.475,KU978763,Yellow fever virus,-,Complete,Ogbomosho,1946,Nigeria,Yes
11089.476,KU978764,Yellow fever virus,-,Complete,M 185 D 160,1941-06-06,Sudan,Yes
11089.477,KU978765,Yellow fever virus,-,Complete,Jose Cachatra,1965-08-23,Guinea-Bissau,Yes
11089.478,KX010994,Yellow fever virus,-,Complete,-,2016-03-11,China,No
11089.479,KX010995,Yellow fever virus,-,Complete,-,2016-03-17,China,No
11089.480,KX010996,Yellow fever virus,-,Complete,-,2016-03-18,China,No
11089.481,KX027336,Yellow fever virus,-,Complete,-,2016-03-19,China,No
11089.947,KX268355,Yellow fever virus,-,Complete,CNYF01R/2016,2016-03-11,-,No
11089.818,KY495641,Yellow fever virus,-,Complete,BJ01/2016,2016-03-11,China,No
11089.875,KY587416,Yellow fever virus,-,Complete,FJYF03/2016,2016-03-20,China,No
11089.952,KY873607,Yellow fever virus,-,Complete,CNFY0321/2016,2016-03-21,-,No
11089.676,MF170968,Yellow fever virus,-,Complete,3925,2017-04-13,Brazil,No
11089.689,MF170969,Yellow fever virus,-,Complete,rj1930,2017-03-18,Brazil,No
11089.677,MF170970,Yellow fever virus,-,Complete,es-2487,2017-03-21,Brazil,No
11089.679,MF170972,Yellow fever virus,-,Complete,2992,2017-03-31,Brazil,Yes
11089.680,MF170973,Yellow fever virus,-,Complete,3919,2017-04-10,Brazil,No
11089.681,MF170974,Yellow fever virus,-,Complete,2829,2017-03-29,Brazil,No
11089.682,MF170975,Yellow fever virus,-,Complete,1555,2017-03-03,Brazil,Yes
11089.683,MF170976,Yellow fever virus,-,Complete,282,2017-01-25,Brazil,No
11089.684,MF170977,Yellow fever virus,-,Complete,1122,2017-02-10,Brazil,No
11089.685,MF170978,Yellow fever virus,-,Complete,2841,2017-03-28,Brazil,No
11089.686,MF170979,Yellow fever virus,-,Complete,3472,2017-04-06,Brazil,Yes
11089.687,MF170980,Yellow fever virus,-,Complete,2563,2017-03-23,Brazil,No
11089.688,MF170981,Yellow fever virus,-,Complete,3495,2017-04-05,Brazil,No
11089.856,MF370531,Yellow fever virus,-,Complete,ESS1115-H844801,2017-02-28,Brazil,Yes
11089.857,MF370532,Yellow fever virus,-,Complete,MIG2482-H843297,2017-01-10,Brazil,Yes
11089.858,MF370533,Yellow fever virus,-,Complete,MIG2484-H843301,2017-01-11,Brazil,Yes
11089.883,MF434851,Yellow fever virus,-,Complete,H199,2017-04-25,Brazil,Yes
11089.888,MF465805,Yellow fever virus,-,Complete,YFV112,2017-01-17,Brazil,Yes
11089.889,MF538782,Yellow fever virus,-,Complete,H190,2017-03-16,Brazil,No
11089.890,MF538783,Yellow fever virus,-,Complete,H191,2017-03-18,Brazil,No
11089.891,MF538784,Yellow fever virus,-,Complete,H196,2017-02-26,Brazil,No
11089.483,MG589641,Yellow fever virus,-,Complete,-,2016-03-18,China,No
11089.967,MG922934,Yellow fever virus,-,Complete,BNI-YFV-17,2017,-,Yes
11089.973,MG969501,Yellow fever virus,-,Complete,FIOCRUZ 71530/MG/01,2001-03-07,-,Yes
11089.723,MH444798,Yellow fever virus,-,Complete,FVV,-,Senegal,No
11089.1219,MH560359,Yellow fever virus,-,Complete,human/MG/2017,2017-01,Brazil,No
11089.908,MH633684,Yellow fever virus,-,Complete,not applicable,2016-03-14,-,No
11089.909,MH633685,Yellow fever virus,-,Complete,not applicable,2016-03-25,-,No
11089.910,MH633686,Yellow fever virus,-,Complete,not applicable,2016-03-19,-,No
11089.911,MH633687,Yellow fever virus,-,Complete,not applicable,2016,-,No
11089.912,MH633688,Yellow fever virus,-,Complete,not applicable,2016-04-11,-,No
11089.915,MH633691,Yellow fever virus,-,Complete,not applicable,2016,-,No
11089.969,MK292067,Yellow fever virus,-,Complete,YFV_t146a344,2018-11-19,-,Yes
11089.974,MK333798,Yellow fever virus,-,Complete,ABR1005,2018-01-08,-,Yes
11089.975,MK333799,Yellow fever virus,-,Complete,ABR1009,2018-01-08,-,No
11089.715,MK457701,Yellow fever virus,-,Complete,3623-1,2018-10-22,Nigeria,Yes
11089.755,MK583147,Yellow fever virus,-,Complete,YFV003FIG,2018-01-12,Brazil,Yes
11089.756,MK583148,Yellow fever virus,-,Complete,YFV004FIG,2018-01-13,Brazil,Yes
11089.757,MK583149,Yellow fever virus,-,Complete,YFV005FIG,2018-01-16,Brazil,Yes
11089.758,MK583150,Yellow fever virus,-,Complete,YFV007FIG,2018-01-15,Brazil,Yes
11089.759,MK583151,Yellow fever virus,-,Complete,YFV008FIG,2018-01-15,Brazil,Yes
11089.760,MK583152,Yellow fever virus,-,Complete,YFV010FIG,2017-01-16,Brazil,Yes
11089.761,MK583153,Yellow fever virus,-,Complete,YFV015FIG,2018-01-20,Brazil,Yes
11089.762,MK583154,Yellow fever virus,-,Complete,YFV016FIG,2018-01-21,Brazil,Yes
11089.763,MK583155,Yellow fever virus,-,Complete,YFV018FIG,2018-01-22,Brazil,Yes
11089.764,MK583156,Yellow fever virus,-,Complete,YFV020FIG,2018-01-23,Brazil,Yes
11089.765,MK583157,Yellow fever virus,-,Complete,YFV021FIG,2018-01-23,Brazil,Yes
11089.766,MK583158,Yellow fever virus,-,Complete,YFV022FIG,2018-01-23,Brazil,Yes
11089.767,MK583159,Yellow fever virus,-,Complete,YFV023FIG,2018-01-24,Brazil,Yes
11089.768,MK583160,Yellow fever virus,-,Complete,YFV029FIG,2018-01-29,Brazil,Yes
11089.769,MK583161,Yellow fever virus,-,Complete,YFV033FIG,2018-01-24,Brazil,Yes
11089.770,MK583162,Yellow fever virus,-,Complete,YFV038FIG,2018-01-31,Brazil,Yes
11089.771,MK583163,Yellow fever virus,-,Complete,YFV040FIG,2018-02-02,Brazil,Yes
11089.772,MK583164,Yellow fever virus,-,Complete,YFV041FIG,2018-02-03,Brazil,Yes
11089.773,MK583165,Yellow fever virus,-,Complete,YFV042FIG,2018-02-04,Brazil,Yes
11089.774,MK583166,Yellow fever virus,-,Complete,YFV043FIG,2018-02-06,Brazil,Yes
11089.775,MK583167,Yellow fever virus,-,Complete,YFV047FIG,2018-02-11,Brazil,Yes
11089.776,MK583168,Yellow fever virus,-,Complete,YFV048FIG,2018-02-11,Brazil,Yes
11089.777,MK583169,Yellow fever virus,-,Complete,YFV052FIG,2018-02-18,Brazil,Yes
11089.778,MK583170,Yellow fever virus,-,Complete,YFV053FIG,2018-02-18,Brazil,Yes
11089.779,MK583171,Yellow fever virus,-,Complete,YFV054FIG,2018-02-18,Brazil,Yes
11089.780,MK583172,Yellow fever virus,-,Complete,YFV056FIG,2018-02-19,Brazil,Yes
11089.781,MK583173,Yellow fever virus,-,Complete,YFV060FIG,2018-02-23,Brazil,Yes
11089.782,MK583174,Yellow fever virus,-,Complete,YFV061FIG,2018-02-24,Brazil,Yes
11089.783,MK583175,Yellow fever virus,-,Complete,YFV065FIG,2018-02-27,Brazil,Yes
11089.784,MK583176,Yellow fever virus,-,Complete,YFV066FIG,2018-02-27,Brazil,Yes
11089.785,MK583177,Yellow fever virus,-,Complete,YFV070FIG,2018-03-04,Brazil,Yes
11089.786,MK583178,Yellow fever virus,-,Complete,YFV072FIG,2018-03-10,Brazil,Yes
11089.787,MK583179,Yellow fever virus,-,Complete,YFV074FIG,2018-03-11,Brazil,Yes
11089.788,MK583180,Yellow fever virus,-,Complete,YFV076FIG,2018-03-14,Brazil,Yes
11089.789,MK583181,Yellow fever virus,-,Complete,YFV080FIG,2018-03-27,Brazil,Yes
11089.790,MK583182,Yellow fever virus,-,Complete,YFV081FIG,2018-03-14,Brazil,Yes
11089.821,MK728873,Yellow fever virus,-,Complete,GO21,2017-03-04,Brazil,Yes
11089.822,MK760660,Yellow fever virus,-,Complete,YFV_t146a163_11Jan_pl,2018-01-11,Netherlands,Yes
11089.823,MK760661,Yellow fever virus,-,Complete,YFV_t146a164_11Jan_ur,2018-01-11,Netherlands,Yes
11089.824,MK760662,Yellow fever virus,-,Complete,YFV_t146a208_Jan12_ur,2018-01-12,Netherlands,Yes
11089.825,MK760663,Yellow fever virus,-,Complete,YFV_t146a210_Jan13_ur,2018-01-13,Netherlands,Yes
11089.826,MK760664,Yellow fever virus,-,Complete,YFV_t146a211_Jan14_ur,2018-01-14,Netherlands,Yes
11089.827,MK760665,Yellow fever virus,-,Complete,YFV_t146a212_Jan19_ur,2018-01-19,Netherlands,Yes
11089.956,MN211301,Yellow fever virus,-,Complete,1082-X1,-,-,No
11089.957,MN211302,Yellow fever virus,-,Complete,959R1,-,-,No
11089.958,MN211303,Yellow fever virus,-,Complete,898-X1,-,-,No
11089.959,MN211304,Yellow fever virus,-,Complete,858A1,-,-,No
11089.961,MN211306,Yellow fever virus,-,Complete,693-X1,-,-,No
11089.962,MN211307,Yellow fever virus,-,Complete,0652X1,-,-,No
11089.963,MN211308,Yellow fever virus,-,Complete,0486K1,-,-,No
11089.965,MN211310,Yellow fever virus,-,Complete,0410R1,-,-,No
11089.966,MN211311,Yellow fever virus,-,Complete,1060E1,-,-,No
11089.1315,MN643077,Yellow fever virus,-,Complete,H295,2018-01-16,Brazil,No
11089.1318,MN643078,Yellow fever virus,-,Complete,H299,2018-01-25,Brazil,Yes
11089.1317,MN643079,Yellow fever virus,-,Complete,H300,2018-01-26,Brazil,Yes
11089.1316,MN643080,Yellow fever virus,-,Complete,H312,2018-02-17,Brazil,No
11089.1314,MN643081,Yellow fever virus,-,Complete,H313,2018-02-19,Brazil,Yes
11089.1319,MN643082,Yellow fever virus,-,Complete,H317,2018-02-16,Brazil,No
11089.1321,MN643083,Yellow fever virus,-,Complete,H319,2018-02-25,Brazil,No
11089.1324,MN643084,Yellow fever virus,-,Complete,H320,2018-02-25,Brazil,No
11089.1326,MN643085,Yellow fever virus,-,Complete,H326,2018-02-11,Brazil,Yes
11089.1320,MN643086,Yellow fever virus,-,Complete,H327,2018-02-14,Brazil,No
11089.1325,MN643087,Yellow fever virus,-,Complete,H333,2018-02-13,Brazil,Yes
11089.817,MN958078,Yellow fever virus,-,Complete,0054K,2018,Nigeria,Yes
11089.1133,MW158353,Yellow fever virus,-,Complete,INHRR5a-05/TVP21814,2005,Venezuela,Yes
11089.1132,MW158354,Yellow fever virus,-,Complete,INHRR6a-05/TVP21815,2005,Venezuela,Yes
11089.1128,MW158358,Yellow fever virus,-,Complete,IQD8393/TVP17415,2004,Peru,Yes
11089.1127,MW158359,Yellow fever virus,-,Complete,IQT5591/TVP21819,1998-01-20,Peru,Yes
11089.1126,MW158360,Yellow fever virus,-,Complete,MIS1034/TVP21820,2011-03,Peru,Yes
11089.1125,MW158361,Yellow fever virus,-,Complete,OBS2240/TVP21821,1995-05-19,Peru,Yes
11089.1124,MW158362,Yellow fever virus,-,Complete,OBS5026/TVP17399,1997-07,Ecuador,Yes
11089.1123,MW158363,Yellow fever virus,-,Complete,P16065/TVP21822,1966,USA,Yes
11089.1198,MW249074,Yellow fever virus,-,Complete,7D_P3,2019-02-07,France,Yes
11089.1196,MW249075,Yellow fever virus,-,Complete,17D_P4,2019-02-07,France,Yes
11089.1197,MW249076,Yellow fever virus,-,Complete,17D_P5,2019-02-07,France,Yes
11089.1195,MW249077,Yellow fever virus,-,Complete,FNV_P3,2019-02-07,France,Yes
11089.1194,MW249078,Yellow fever virus,-,Complete,FNV_P4,2019-02-07,France,Yes
11089.1193,MW249079,Yellow fever virus,-,Complete,FNV_P5,2019-02-07,France,Yes
11089.1192,MW249080,Yellow fever virus,-,Complete,Stamaril_2002,2019-02-07,France,Yes
11089.1191,MW249081,Yellow fever virus,-,Complete,FNV-NS1,2019-02-07,France,Yes
11089.1190,MW249082,Yellow fever virus,-,Complete,FNV-N2,2019-02-07,France,Yes
11089.1189,MW249083,Yellow fever virus,-,Complete,FNV-N3,2019-02-07,France,Yes
11089.1188,MW249084,Yellow fever virus,-,Complete,FNV-NS4,2019-02-07,France,Yes
11089.1187,MW249085,Yellow fever virus,-,Complete,FNV-S5,2019-02-07,France,Yes
11089.1186,MW249086,Yellow fever virus,-,Complete,FNV-N6,2019-02-07,France,Yes
11089.1185,MW249087,Yellow fever virus,-,Complete,FNV-S7,2019-02-07,France,Yes
11089.1184,MW249088,Yellow fever virus,-,Complete,FNV-S8,2019-02-07,France,Yes
11089.1183,MW249089,Yellow fever virus,-,Complete,FNV-NS9,2019-02-07,France,Yes
11089.1182,MW249090,Yellow fever virus,-,Complete,FNV-NS10,2019-02-07,France,Yes
11089.1181,MW249091,Yellow fever virus,-,Complete,FNV-S11,2019-02-07,France,Yes
11089.1180,MW249092,Yellow fever virus,-,Complete,FNV-NS13,2019-02-07,France,Yes
11089.1179,MW249093,Yellow fever virus,-,Complete,FNV-N14,2019-02-07,France,Yes
11089.1178,MW249094,Yellow fever virus,-,Complete,FNV-NS15,2019-02-07,France,Yes
11089.1177,MW249095,Yellow fever virus,-,Complete,FNV-N12,2019-02-07,France,Yes
11089.1311,MW308134,Yellow fever virus,-,Complete,YFV084FIG,2018-10-26,Brazil,Yes
11089.1312,MW308135,Yellow fever virus,-,Complete,YFV085FIG,2019-01-20,Brazil,No
11089.1865,MW960207,Yellow fever virus,-,Complete,18/YF118,2018,Central African Republic,No
11089.1310,MZ285906,Yellow fever virus,-,Complete,FVV_HeLa_p5,1927,Senegal,Yes
11089.1244,MZ604838,Yellow fever virus,-,Complete,SP01/BRA/2019,2019,Brazil,No
11089.1245,MZ604839,Yellow fever virus,-,Complete,SP02/BRA/2019,2019,Brazil,No
11089.1246,MZ604840,Yellow fever virus,-,Complete,SP01/BRA/2018,2018,Brazil,No
11089.1247,MZ604841,Yellow fever virus,-,Complete,SP03/BRA/2019,2019,Brazil,No
11089.1248,MZ604842,Yellow fever virus,-,Complete,SP03/BRA/2018,2018,Brazil,No
11089.1249,MZ604843,Yellow fever virus,-,Complete,SP05/BRA/2019,2019,Brazil,No
11089.1250,MZ604844,Yellow fever virus,-,Complete,SP06/BRA/2019,2019,Brazil,No
11089.1251,MZ604845,Yellow fever virus,-,Complete,SP04/BRA/2018,2018,Brazil,No
11089.1252,MZ604846,Yellow fever virus,-,Complete,SP07/BRA/2019,2019,Brazil,No
11089.1253,MZ604847,Yellow fever virus,-,Complete,SP08/BRA/2019,2019,Brazil,No
11089.1254,MZ604848,Yellow fever virus,-,Complete,SP09/BRA/2019,2019,Brazil,Yes
11089.1255,MZ604849,Yellow fever virus,-,Complete,SP10/BRA/2019,2019,Brazil,No
11089.1256,MZ604850,Yellow fever virus,-,Complete,SP11/BRA/2019,2019,Brazil,No
11089.1257,MZ604851,Yellow fever virus,-,Complete,SP12/BRA/2019,2019,Brazil,No
11089.1258,MZ604852,Yellow fever virus,-,Complete,SP13/BRA/2019,2019,Brazil,No
11089.1259,MZ604853,Yellow fever virus,-,Complete,SP14/BRA/2019,2019,Brazil,Yes
11089.1260,MZ604854,Yellow fever virus,-,Complete,SP23/BRA/2019,2019,Brazil,Yes
11089.1261,MZ604855,Yellow fever virus,-,Complete,SP15/BRA/2019,2019,Brazil,No
11089.1262,MZ604856,Yellow fever virus,-,Complete,SP06/BRA/2018,2018,Brazil,Yes
11089.1263,MZ604857,Yellow fever virus,-,Complete,SP25/BRA/2019,2019,Brazil,Yes
11089.1264,MZ604858,Yellow fever virus,-,Complete,SP16/BRA/2019,2019,Brazil,Yes
11089.1265,MZ604859,Yellow fever virus,-,Complete,SP07/BRA/2018,2018,Brazil,No
11089.1266,MZ604860,Yellow fever virus,-,Complete,SP17/BRA/2019,2019,Brazil,No
11089.1267,MZ604861,Yellow fever virus,-,Complete,SP08/BRA/2018,2018,Brazil,No
11089.1268,MZ604862,Yellow fever virus,-,Complete,SP10/BRA/2018,2018,Brazil,No
11089.1269,MZ604863,Yellow fever virus,-,Complete,SP18/BRA/2019,2019,Brazil,No
11089.1270,MZ604864,Yellow fever virus,-,Complete,SP19/BRA/2019,2019,Brazil,No
11089.1271,MZ604865,Yellow fever virus,-,Complete,SP12/BRA/2018,2018,Brazil,Yes
11089.1272,MZ604866,Yellow fever virus,-,Complete,SP13/BRA/2018,2018,Brazil,Yes
11089.1273,MZ604867,Yellow fever virus,-,Complete,SP22/BRA/2019,2019,Brazil,Yes
11089.1274,MZ604868,Yellow fever virus,-,Complete,SP02/BRA/2018,2018,Brazil,Yes
11089.1275,MZ604869,Yellow fever virus,-,Complete,SP04/BRA/2019,2019,Brazil,No
11089.1276,MZ604870,Yellow fever virus,-,Complete,SP05/BRA/2018,2018,Brazil,No
11089.1277,MZ604871,Yellow fever virus,-,Complete,SP24/BRA/2019,2019,Brazil,Yes
11089.1278,MZ604872,Yellow fever virus,-,Complete,SP09/BRA/2018,2018,Brazil,No
11089.1279,MZ604873,Yellow fever virus,-,Complete,SP11/BRA/2018,2018,Brazil,No
11089.1280,MZ604874,Yellow fever virus,-,Complete,SP20/BRA/2019,2019,Brazil,No
11089.1281,MZ604875,Yellow fever virus,-,Complete,SP21/BRA/2019,2019,Brazil,No
11089.1282,MZ604876,Yellow fever virus,-,Complete,SP14/BRA/2018,2018,Brazil,No
11089.1347,ON245434,Yellow fever virus,-,Complete,-,2020-02,Nigeria,No
11089.1348,ON245435,Yellow fever virus,-,Complete,-,2020-11,Nigeria,No
11089.2025,ON323052,Yellow fever virus,-,Complete,a,2020-12-14,Nigeria,No
11089.2024,ON323054,Yellow fever virus,-,Complete,C,2020-12-14,Nigeria,Yes
11089.2027,ON402371,Yellow fever virus,-,Complete,004NM,2020-12-14,Nigeria,No
11089.2014,OP508715,Yellow fever virus,-,Complete,PR6021-2017,2017-09-03,Brazil,Yes
11089.1868,OQ077983,Yellow fever virus,-,Complete,Ug2012-CVR2,2012,Uganda,No
11089.2085,OR052147,Yellow fever virus,-,Complete,hYFV/Brazil/SP-IAL-810/2023,2023-04-28,Brazil,Yes
11089.2084,OR119828,Yellow fever virus,-,Complete,Jimenez,1974,Panama,Yes
11053.100,KC692509,Dengue virus,1,Complete,-,2009-05-05,Argentina,Yes
11053.102,KC692511,Dengue virus,1,Complete,-,2010-02-10,Argentina,Yes
11053.10252,KX618705,Dengue virus,1,Complete,UOH_21749,2014,India,Yes
11053.10254,KX618706,Dengue virus,1,Complete,3083,2014,India,Yes
11053.10256,KX620451,Dengue virus,1,Complete,LRY-N/M/SZ/2014/DEV1,2014,China,No
11053.10258,KX620452,Dengue virus,1,Complete,Sz-1/M/SZ/2014/DEV1,2014,China,No
11053.10260,KX620453,Dengue virus,1,Complete,Sz-8/M/SZ/2014/DEV1,2014,China,No
11053.10262,KX620454,Dengue virus,1,Complete,Sz-9/M/SZ/2014/DEV1,2014,China,No
11053.10264,KX620455,Dengue virus,1,Complete,Sz-25/M/SZ/2014/DEV1,2014,China,No
11053.10270,KX621249,Dengue virus,1,Complete,GZ-4/M/GZ/2014/DEV1,2014,China,No
11053.10272,KX621250,Dengue virus,1,Complete,GZ8_46/S/Haizhu/2014/DEV1,2014,China,No
11053.10274,KX621251,Dengue virus,1,Complete,GZ8_55/S/Baiyun/2013/DEV1,2013,China,No
11053.10276,KX621252,Dengue virus,1,Complete,GZ8_84/S/GZ/2014/DEV1,2014,China,No
11053.10278,KX621253,Dengue virus,1,Complete,GZ-201601,-,China,Yes
11053.103,KC692510,Dengue virus,1,Complete,-,2009-05-28,Argentina,Yes
11053.10436,LC011945,Dengue virus,1,Complete,D1/Hu/Saitama/NIID100/2014,2014-08-20,Japan,Yes
11053.10438,LC011946,Dengue virus,1,Complete,D1/Hu/Tokyo/NIID111/2014,2014-08,Japan,Yes
11053.10440,LC011947,Dengue virus,1,Complete,D1/Hu/Tokyo/NIID149/2014,2014-09,Japan,Yes
11053.10442,LC011948,Dengue virus,1,Complete,D1/Hu/Chiba/NIID153/2014,2014-09,Japan,Yes
11053.10444,LC011949,Dengue virus,1,Complete,D1/Hu/Shizuoka/NIID181/2014,2014-09,Japan,Yes
11053.10455,KR779783,Dengue virus,1,Complete,SG(EHI)D1/44614Y11,2011,Singapore,Yes
11053.10456,LC016760,Dengue virus,1,Complete,D1/Hu/Hyogo/NIID188/2014,2014-09-28,Japan,Yes
11053.10483,MN448597,Dengue virus,1,Complete,KDC0010A2_11/10/2009,2009-11-11,Thailand,No
11053.10484,MN448598,Dengue virus,1,Complete,KDC0394A_09/27/2010,2010-09-28,Thailand,Yes
11053.10485,MN448599,Dengue virus,1,Complete,KDC0454A_02/07/2011,2011-02-07,Thailand,Yes
11053.10486,MN448600,Dengue virus,1,Complete,KDC0455A_02/07/2011,2011-02-08,Thailand,Yes
11053.10487,MN448601,Dengue virus,1,Complete,KDC0456A_02/07/2011,2011-02-08,Thailand,Yes
11053.10488,MN448602,Dengue virus,1,Complete,KDC0492A_04/21/2011,2011-04-21,Thailand,Yes
11053.10489,MN448604,Dengue virus,1,Complete,KDC0495A_04/26/2011,2011-04-26,Thailand,Yes
11053.10490,MN448605,Dengue virus,1,Complete,KDC0573A_06/02/2011,2011-06-03,Thailand,Yes
11053.10491,MN448606,Dengue virus,1,Complete,KDC0574A_06/02/2011,2011-06-03,Thailand,Yes
11053.10492,MN448608,Dengue virus,1,Complete,KDC0575A_06/02/2011,2011-06-03,Thailand,No
11053.10493,MN448609,Dengue virus,1,Complete,KDC0584A_06/14/2011,2011-06-15,Thailand,Yes
11053.10494,MN448610,Dengue virus,1,Complete,KDC0587A_06/15/2011,2011-06-14,Thailand,No
11053.10495,MN448611,Dengue virus,1,Complete,KDC0588A_06/15/2011,2011-06-15,Thailand,Yes
11053.10496,MN448613,Dengue virus,1,Complete,KDC0601A_06/21/2011,2011-06-21,Thailand,No
11053.10497,MN448612,Dengue virus,1,Complete,KDC0599A_06/21/2011,2011-06-21,Thailand,No
11053.10498,MN448615,Dengue virus,1,Complete,KDC0631A_06/29/2011,2011-06-30,Thailand,No
11053.10499,MN448614,Dengue virus,1,Complete,KDC0604A_06/21/2011,2011-06-22,Thailand,Yes
11053.10500,MN448616,Dengue virus,1,Complete,KDC0640A2_06/30/2011,2011-07-01,Thailand,No
11053.10501,MN448603,Dengue virus,1,Complete,KDC0493A_04/21/2011,2011-04-21,Thailand,No
11053.10502,MN448617,Dengue virus,1,Complete,KDC0650A_07/06/2011,2011-07-07,Thailand,No
11053.10503,MN448618,Dengue virus,1,Complete,KDC0718A_07/27/2011,2011-07-28,Thailand,Yes
11053.10504,MN448619,Dengue virus,1,Complete,KDC0722A_07/27/2011,2011-07-28,Thailand,No
11053.10505,MN448620,Dengue virus,1,Complete,KDC0734A_08/02/2011,2011-08-02,Thailand,Yes
11053.10506,MN448621,Dengue virus,1,Complete,KDC0760A_08/10/2011,2011-08-11,Thailand,Yes
11053.10507,MN448622,Dengue virus,1,Complete,KDC0763A_08/10/2011,2011-08-11,Thailand,No
11053.10508,MN448623,Dengue virus,1,Complete,KDC0885A_11/29/2011,2011-11-29,Thailand,Yes
11053.10509,MN448624,Dengue virus,1,Complete,KDC1148A_10/10/2012,2012-10-10,Thailand,Yes
11053.10510,MN448625,Dengue virus,1,Complete,KDC1149A_10/10/2012,2012-10-10,Thailand,No
11053.10511,MN448626,Dengue virus,1,Complete,KDC1150A_10/10/2012,2012-10-10,Thailand,No
11053.10512,MN448627,Dengue virus,1,Complete,KDC1151A_10/10/2012,2012-10-10,Thailand,No
11053.10513,MN448628,Dengue virus,1,Complete,KDC1152A_10/10/2012,2012-10-10,Thailand,No
11053.10514,MN448629,Dengue virus,1,Complete,KDC1153A_10/10/2012,2012-10-10,Thailand,No
11053.10515,MN448630,Dengue virus,1,Complete,KDC1209A_11/05/2012,2012-11-06,Thailand,Yes
11053.10516,MN448631,Dengue virus,1,Complete,KDH0002A_11/10/2009,2009-11-09,Thailand,Yes
11053.10517,MN448632,Dengue virus,1,Complete,KDH0026A_06/15/2010,2010-06-15,Thailand,No
11053.10518,MN448633,Dengue virus,1,Complete,KDH0030A_07/06/2010,2010-07-06,Thailand,No
11053.10519,MN448635,Dengue virus,1,Complete,KDH0038A_08/03/2010,2010-08-03,Thailand,No
11053.10520,MN448634,Dengue virus,1,Complete,KDH0032A_07/07/2010,2010-07-07,Thailand,No
11053.10521,MN448636,Dengue virus,1,Complete,KDH0044A_08/10/2010,2010-08-10,Thailand,No
11053.10522,MN448640,Dengue virus,1,Complete,KDH0081A_10/27/2010,2010-10-20,Thailand,No
11053.10523,MN448637,Dengue virus,1,Complete,KDH0068A_09/14/2010,2010-09-14,Thailand,Yes
11053.10524,MN448638,Dengue virus,1,Complete,KDH0073A_09/23/2010,2010-09-23,Thailand,Yes
11053.10525,MN448639,Dengue virus,1,Complete,KDH0074A_09/27/2010,2010-09-27,Thailand,Yes
11053.10526,MN448641,Dengue virus,1,Complete,KDH0082A_11/01/2010,2010-11-01,Thailand,No
11053.10527,MN448642,Dengue virus,1,Complete,KDH0087A_12/08/2010,2010-12-07,Thailand,Yes
11053.10528,MN448643,Dengue virus,1,Complete,KDH0100A_02/07/2011,2011-02-07,Thailand,Yes
11053.10529,MN448644,Dengue virus,1,Complete,KDH0102A_02/15/2011,2011-02-11,Thailand,No
11053.10530,MN448645,Dengue virus,1,Complete,KDH0110A_04/19/2011,2011-04-18,Thailand,Yes
11053.10531,MN448646,Dengue virus,1,Complete,KDH0112A_04/21/2011,2011-04-20,Thailand,No
11053.10532,MN448647,Dengue virus,1,Complete,KDH0129A_06/02/2011,2011-06-01,Thailand,No
11053.10533,MN448648,Dengue virus,1,Complete,KDH0131A_06/14/2011,2011-06-13,Thailand,Yes
11053.10534,MN448649,Dengue virus,1,Complete,KDH0132A_06/14/2011,2011-06-13,Thailand,Yes
11053.10535,MN448650,Dengue virus,1,Complete,KDH0134A_06/15/2011,2011-06-14,Thailand,Yes
11053.10536,MN448651,Dengue virus,1,Complete,KDH0135A_06/16/2011,2011-06-15,Thailand,No
11053.10537,MN448652,Dengue virus,1,Complete,KDH0136A_06/21/2011,2011-06-22,Thailand,Yes
11053.10538,MN448653,Dengue virus,1,Complete,KDH0137A_06/21/2011,2011-06-20,Thailand,Yes
11053.10539,MN448654,Dengue virus,1,Complete,KDH0142A_06/29/2011,2011-06-27,Thailand,No
11053.10540,MN448655,Dengue virus,1,Complete,KDH0143A_06/29/2011,2011-06-27,Thailand,Yes
